title,cast,director,keywords,genres,soup
Freedom,"['cubagoodingjr.', 'williamsadler', 'sharonleal']",petercousens,"['ship', 'freedom', 'slave']",['drama'],ship freedom slave cubagoodingjr. williamsadler sharonleal p e t e r c o u s e n s drama
Unforgiven,"['clinteastwood', 'genehackman', 'morganfreeman']",clinteastwood,"['prostitute', 'sheriff', 'bounty']",['western'],prostitute sheriff bounty clinteastwood genehackman morganfreeman c l i n t e a s t w o o d western
Manderlay,"['brycedallashoward', 'isaachdebankolé', 'dannyglover']",larsvontrier,"['southernusa', 'slavery', 'duringcreditsstinger']",['drama'],southernusa slavery duringcreditsstinger brycedallashoward isaachdebankolé dannyglover l a r s v o n t r i e r drama
Slumdog Millionaire,"['devpatel', 'freidapinto', 'anilkapoor']",dannyboyle,"['slum', 'indianlead', 'cheating']","['drama', 'romance']",slum indianlead cheating devpatel freidapinto anilkapoor d a n n y b o y l e drama romance
Fatal Attraction,"['michaeldouglas', 'glennclose', 'annearcher']",adrianlyne,"['sexualobsession', 'wifehusbandrelationship', 'deceivedwife']","['drama', 'romance', 'thriller']",sexualobsession wifehusbandrelationship deceivedwife michaeldouglas glennclose annearcher a d r i a n l y n e drama romance thriller
Pretty Woman,"['juliaroberts', 'richardgere', 'ralphbellamy']",garrymarshall,"['prostitute', 'capitalism', 'cinderella']","['romance', 'comedy']",prostitute capitalism cinderella juliaroberts richardgere ralphbellamy g a r r y m a r s h a l l romance comedy
Crocodile Dundee II,"['paulhogan', 'lindakozlowski', 'johnmeillon']",johncornell,"['newyork', 'crocodile', 'australia']","['adventure', 'comedy']",newyork crocodile australia paulhogan lindakozlowski johnmeillon j o h n c o r n e l l adventure comedy
Broken Horses,"['maríavalverde', ""vincentd'onofrio"", 'thomasjane']",vidhuvinodchopra,[],"['thriller', 'mystery', 'drama']", maríavalverde vincentd'onofrio thomasjane v i d h u v i n o d c h o p r a thriller mystery drama
Born on the Fourth of July,"['tomcruise', 'raymondj.barry', 'carolinekava']",oliverstone,"['vietnamveteran', 'posttraumaticstressdisorder', 'bar']","['drama', 'war']",vietnamveteran posttraumaticstressdisorder bar tomcruise raymondj.barry carolinekava o l i v e r s t o n e drama war
Cool Runnings,"['leonrobinson', 'douge.doug', 'rawled.lewis']",jonturteltaub,"['winter', 'trainer', 'olympicgames']",['comedy'],winter trainer olympicgames leonrobinson douge.doug rawled.lewis j o n t u r t e l t a u b comedy
My Bloody Valentine,"['jensenackles', 'jaimeking', 'kerrsmith']",patricklussier,"['sheriff', 'miner', 'delusion']","['mystery', 'horror']",sheriff miner delusion jensenackles jaimeking kerrsmith p a t r i c k l u s s i e r mystery horror
Stomp the Yard,"['columbusshort', 'meagangood', 'ne-yo']",sylvainwhite,"['loveatfirstsight', 'lossofbrother', 'breakdance']","['drama', 'music']",loveatfirstsight lossofbrother breakdance columbusshort meagangood ne-yo s y l v a i n w h i t e drama music
The Spy Who Loved Me,"['rogermoore', 'barbarabach', 'curdjürgens']",lewisgilbert,"['londonengland', 'submarine', 'england']","['adventure', 'action', 'thriller']",londonengland submarine england rogermoore barbarabach curdjürgens l e w i s g i l b e r t adventure action thriller
Urban Legend,"['aliciawitt', 'jaredleto', 'rebeccagayheart']",jamieblanks,"['college', 'murder', 'urbanlegend']","['horror', 'thriller']",college murder urbanlegend aliciawitt jaredleto rebeccagayheart j a m i e b l a n k s horror thriller
Good Deeds,"['tylerperry', 'phyliciarashād', 'thandienewton']",tylerperry,"['africanamerican', 'singlemother', 'fiancéfiancéerelationship']","['comedy', 'drama', 'romance']",africanamerican singlemother fiancéfiancéerelationship tylerperry phyliciarashād thandienewton t y l e r p e r r y comedy drama romance
White Fang,"['klausmariabrandauer', 'ethanhawke', 'seymourcassel']",randalkleiser,"['basedonnovel', 'gold', 'treasure']","['action', 'adventure', 'drama']",basedonnovel gold treasure klausmariabrandauer ethanhawke seymourcassel r a n d a l k l e i s e r action adventure drama
Superstar,"['mollyshannon', 'willferrell', 'elainehendrix']",brucemcculloch,[],"['comedy', 'family']", mollyshannon willferrell elainehendrix b r u c e m c c u l l o c h comedy family
The Iron Lady,"['merylstreep', 'anthonystewarthead', 'harrylloyd']",phyllidalloyd,"['capitalism', 'primeminister', 'argentina']","['history', 'drama']",capitalism primeminister argentina merylstreep anthonystewarthead harrylloyd p h y l l i d a l l o y d history drama
Jonah: A VeggieTales Movie,"['philvischer', 'mikenawrocki', 'timhodge']",philvischer,[],"['action', 'adventure', 'animation']", philvischer mikenawrocki timhodge p h i l v i s c h e r action adventure animation
Poetic Justice,"['janetjackson', 'tupacamarushakur', 'reginaking']",johnsingleton,"['lossoflover', 'sadness', 'losangeles']","['drama', 'romance']",lossoflover sadness losangeles janetjackson tupacamarushakur reginaking j o h n s i n g l e t o n drama romance
All About the Benjamins,"['icecube', 'mikeepps', 'tommyflanagan']",kevinbray,"['recordstore', 'sexuality', 'autograph']","['action', 'adventure', 'comedy']",recordstore sexuality autograph icecube mikeepps tommyflanagan k e v i n b r a y action adventure comedy
Vampire in Brooklyn,"['eddiemurphy', 'angelabassett', 'allenpayne']",wescraven,"['vampire', 'halfvampire']","['comedy', 'horror', 'romance']",vampire halfvampire eddiemurphy angelabassett allenpayne w e s c r a v e n comedy horror romance
Exorcist II: The Heretic,"['lindablair', 'richardburton', 'louisefletcher']",johnboorman,"['exorcism', 'examination', 'pactwiththedevil']","['horror', 'thriller', 'fantasy']",exorcism examination pactwiththedevil lindablair richardburton louisefletcher j o h n b o o r m a n horror thriller fantasy
An American Haunting,"['donaldsutherland', 'sissyspacek', ""jamesd'arcy""]",courtneysolomon,"['witch', 'independentfilm', 'curse']","['horror', 'thriller']",witch independentfilm curse donaldsutherland sissyspacek jamesd'arcy c o u r t n e y s o l o m o n horror thriller
My Boss's Daughter,"['ashtonkutcher', 'tarareid', 'andyrichter']",davidzucker,[],"['comedy', 'romance']", ashtonkutcher tarareid andyrichter d a v i d z u c k e r comedy romance
A Perfect Getaway,"['millajovovich', 'timothyolyphant', 'stevezahn']",davidtwohy,"['hawaii', 'honeymoon', 'doublemurder']","['thriller', 'mystery', 'adventure']",hawaii honeymoon doublemurder millajovovich timothyolyphant stevezahn d a v i d t w o h y thriller mystery adventure
Our Family Wedding,"['forestwhitaker', 'americaferrera', 'carlosmencia']",rickfamuyiwa,"['interracialmarriage', 'wedding', 'duringcreditsstinger']",['comedy'],interracialmarriage wedding duringcreditsstinger forestwhitaker americaferrera carlosmencia r i c k f a m u y i w a comedy
Dead Man on Campus,"['tomeverettscott', 'mark-paulgosselaar', 'poppymontgomery']",alancohn,"['college', 'drug', 'fraternityhouse']",['comedy'],college drug fraternityhouse tomeverettscott mark-paulgosselaar poppymontgomery a l a n c o h n comedy
Tea with Mussolini,"['cher', 'judidench', 'joanplowright']",francozeffirelli,"['italy', 'hotel', 'lossofmother']","['comedy', 'drama', 'war']",italy hotel lossofmother cher judidench joanplowright f r a n c o z e f f i r e l l i comedy drama war
Thinner,"['robertjohnburke', 'joemantegna', 'lucindajenney']",tomholland,"['blowjob', 'curse', 'fatsuit']","['horror', 'thriller']",blowjob curse fatsuit robertjohnburke joemantegna lucindajenney t o m h o l l a n d horror thriller
"New York, New York","['lizaminnelli', 'robertdeniro', 'lionelstander']",martinscorsese,"['newyork', 'jazz', 'saxophonist']","['drama', 'music', 'romance']",newyork jazz saxophonist lizaminnelli robertdeniro lionelstander m a r t i n s c o r s e s e drama music romance
Crooklyn,"['alfrewoodard', 'delroylindo', 'davidpatrickkelly']",spikelee,"['blackpeople', '1970s', 'jazzmusician']","['comedy', 'drama']",blackpeople 1970s jazzmusician alfrewoodard delroylindo davidpatrickkelly s p i k e l e e comedy drama
I Think I Love My Wife,"['chrisrock', 'kerrywashington', 'ginatorres']",chrisrock,[],"['comedy', 'romance']", chrisrock kerrywashington ginatorres c h r i s r o c k comedy romance
Jason X,"['kanehodder', 'lexadoig', 'chuckcampbell']",jamesisaac,"['placesandplanets', 'spacemarine', 'future']","['horror', 'sciencefiction']",placesandplanets spacemarine future kanehodder lexadoig chuckcampbell j a m e s i s a a c horror sciencefiction
Bobby,"['anthonyhopkins', 'heathergraham', 'ashtonkutcher']",emilioestevez,"['hotel', 'senator', 'kitchen']","['history', 'drama']",hotel senator kitchen anthonyhopkins heathergraham ashtonkutcher e m i l i o e s t e v e z history drama
Head Over Heels,"['monicapotter', 'freddieprinzejr.', 'shalomharlow']",markwaters,"['supermodel', 'stalking', 'models']","['comedy', 'romance']",supermodel stalking models monicapotter freddieprinzejr. shalomharlow m a r k w a t e r s comedy romance
Fun Size,"['victoriajustice', 'jacksonnicoll', 'chelseahandler']",joshschwartz,"['halloween', 'friends', 'littlebrother']",['comedy'],halloween friends littlebrother victoriajustice jacksonnicoll chelseahandler j o s h s c h w a r t z comedy
The Diving Bell and the Butterfly,"['mathieuamalric', 'emmanuelleseigner', 'marie-joséecroze']",julianschnabel,"['writing', 'lover(female)', 'psychologicalstress']",['drama'],writing lover(female) psychologicalstress mathieuamalric emmanuelleseigner marie-joséecroze j u l i a n s c h n a b e l drama
Little Children,"['katewinslet', 'patrickwilson', 'jenniferconnelly']",toddfield,"['skateboarding', 'mother', 'americanfootball']","['romance', 'drama']",skateboarding mother americanfootball katewinslet patrickwilson jenniferconnelly t o d d f i e l d romance drama
Gossip,"['joshuajackson', 'jamesmarsden', 'katehudson']",davisguggenheim,"['college', 'suspense', 'gossip']","['drama', 'mystery', 'thriller']",college suspense gossip joshuajackson jamesmarsden katehudson d a v i s g u g g e n h e i m drama mystery thriller
A Walk on the Moon,"['dianelane', 'viggomortensen', 'lievschreiber']",tonygoldwyn,"['adultery', 'woodstock', '1960s']","['drama', 'romance']",adultery woodstock 1960s dianelane viggomortensen lievschreiber t o n y g o l d w y n drama romance
Catch a Fire,"['timrobbins', 'derekluke', 'bonniehenna']",phillipnoyce,"['policebrutality', 'resistance', 'southafrica']","['action', 'drama', 'thriller']",policebrutality resistance southafrica timrobbins derekluke bonniehenna p h i l l i p n o y c e action drama thriller
Soul Survivors,"['elizadushku', 'melissasagemiller', 'wesbentley']",stephencarpenter,"['hallucination', 'carcrash', 'death']","['horror', 'mystery', 'thriller']",hallucination carcrash death elizadushku melissasagemiller wesbentley s t e p h e n c a r p e n t e r horror mystery thriller
Jefferson in Paris,"['nicknolte', 'gretascacchi', 'thandienewton']",jamesivory,"['france', 'revolution', 'biography']","['drama', 'romance']",france revolution biography nicknolte gretascacchi thandienewton j a m e s i v o r y drama romance
Easy Virtue,"['jessicabiel', 'benbarnes', 'kristinscottthomas']",stephanelliott,[],"['comedy', 'romance']", jessicabiel benbarnes kristinscottthomas s t e p h a n e l l i o t t comedy romance
Caravans,"['anthonyquinn', ""jennifero'neill"", 'michaelsarrazin']",jamesfargo,[],"['action', 'adventure', 'drama']", anthonyquinn jennifero'neill michaelsarrazin j a m e s f a r g o action adventure drama
Mr. Turner,"['timothyspall', 'dorothyatkinson', 'marionbailey']",mikeleigh,['painter'],"['history', 'drama']",painter timothyspall dorothyatkinson marionbailey m i k e l e i g h history drama
Wild Grass,"['andrédussollier', 'sabineazéma', 'emmanuelledevos']",alainresnais,"['whiskey', 'experimentalfilm', 'wallet']","['drama', 'romance']",whiskey experimentalfilm wallet andrédussollier sabineazéma emmanuelledevos a l a i n r e s n a i s drama romance
Amen.,"['ulrichtukur', 'mathieukassovitz', 'ulrichmühe']",costa-gavras,"['vatican', 'pope', 'concentrationcamp']","['drama', 'history']",vatican pope concentrationcamp ulrichtukur mathieukassovitz ulrichmühe c o s t a - g a v r a s drama history
Reign of Assassins,"['michelleyeoh', 'jungwoo-sung', 'wangxue-qi']",johnwoo,"['martialarts', 'swordfight', 'wuxia']","['history', 'action']",martialarts swordfight wuxia michelleyeoh jungwoo-sung wangxue-qi j o h n w o o history action
The Lucky Ones,"['timrobbins', 'rachelmcadams', 'michaelpeña']",neilburger,"['friendship', 'war', 'roadtrip']","['comedy', 'drama', 'history']",friendship war roadtrip timrobbins rachelmcadams michaelpeña n e i l b u r g e r comedy drama history
Margaret,"['annapaquin', 'mattdamon', 'markruffalo']",kennethlonergan,"['newyork', 'bus', 'nightmare']",['drama'],newyork bus nightmare annapaquin mattdamon markruffalo k e n n e t h l o n e r g a n drama
Stan Helsing,"['diorabaird', 'leslienielsen', 'stevehowey']",bozenga,"['halloween', 'slapstick', 'duringcreditsstinger']","['comedy', 'horror']",halloween slapstick duringcreditsstinger diorabaird leslienielsen stevehowey b o z e n g a comedy horror
Flipped,"['madelinecarroll', 'callanmcauliffe', 'rebeccademornay']",robreiner,"['shyness', 'basedonnovel', 'unrequitedlove']","['romance', 'drama']",shyness basedonnovel unrequitedlove madelinecarroll callanmcauliffe rebeccademornay r o b r e i n e r romance drama
Brokeback Mountain,"['heathledger', 'jakegyllenhaal', 'randyquaid']",anglee,"['gay', 'countryside', 'homophobia']","['drama', 'romance']",gay countryside homophobia heathledger jakegyllenhaal randyquaid a n g l e e drama romance
Clueless,"['aliciasilverstone', 'staceydash', 'brittanymurphy']",amyheckerling,"['puberty', 'highschool', 'makeamatch']","['comedy', 'drama', 'romance']",puberty highschool makeamatch aliciasilverstone staceydash brittanymurphy a m y h e c k e r l i n g comedy drama romance
Far from Heaven,"['juliannemoore', 'dennisquaid', 'dennishaysbert']",toddhaynes,"['blackpeople', 'wifehusbandrelationship', 'botanist']","['drama', 'romance']",blackpeople wifehusbandrelationship botanist juliannemoore dennisquaid dennishaysbert t o d d h a y n e s drama romance
Hot Tub Time Machine 2,"['robcorddry', 'craigrobinson', 'clarkduke']",stevepink,"['timetravel', 'sequel', 'hottub']",['comedy'],timetravel sequel hottub robcorddry craigrobinson clarkduke s t e v e p i n k comedy
Quills,"['geoffreyrush', 'katewinslet', 'joaquinphoenix']",philipkaufman,"['asylum', 'frenchrevolution', 'french']",['drama'],asylum frenchrevolution french geoffreyrush katewinslet joaquinphoenix p h i l i p k a u f m a n drama
Seven Psychopaths,"['colinfarrell', 'samrockwell', 'woodyharrelson']",martinmcdonagh,"['suicide', 'alcohol', 'sex']","['comedy', 'crime']",suicide alcohol sex colinfarrell samrockwell woodyharrelson m a r t i n m c d o n a g h comedy crime
The Caveman's Valentine,"['samuell.jackson', 'colmfeore', 'annmagnuson']",kasilemmons,['womandirector'],"['drama', 'mystery', 'thriller']",womandirector samuell.jackson colmfeore annmagnuson k a s i l e m m o n s drama mystery thriller
Downfall,"['brunoganz', 'alexandramarialara', 'corinnaharfouch']",oliverhirschbiegel,"['berlin', 'poison', 'dictator']","['drama', 'history', 'war']",berlin poison dictator brunoganz alexandramarialara corinnaharfouch o l i v e r h i r s c h b i e g e l drama history war
The Sea Inside,"['javierbardem', 'belénrueda', 'loladueñas']",alejandroamenábar,"['brotherbrotherrelationship', 'paraplegic', 'intensivecare']",['drama'],brotherbrotherrelationship paraplegic intensivecare javierbardem belénrueda loladueñas a l e j a n d r o a m e n á b a r drama
Under the Skin,"['scarlettjohansson', 'kryštofhádek', 'paulbrannigan']",jonathanglazer,"['malenudity', 'scotland', 'edinburgh']","['thriller', 'sciencefiction', 'drama']",malenudity scotland edinburgh scarlettjohansson kryštofhádek paulbrannigan j o n a t h a n g l a z e r thriller sciencefiction drama
"Good Morning, Vietnam","['robinwilliams', 'forestwhitaker', 'tungthanhtran']",barrylevinson,"['rockandroll', 'radiostation', 'warcrimes']","['comedy', 'drama', 'war']",rockandroll radiostation warcrimes robinwilliams forestwhitaker tungthanhtran b a r r y l e v i n s o n comedy drama war
The Last Godfather,"['harveykeitel', 'jasonmewes', 'blakeclark']",shimhyung-rae,[],"['action', 'comedy', 'thriller']", harveykeitel jasonmewes blakeclark s h i m h y u n g - r a e action comedy thriller
Justin Bieber: Never Say Never,"['justinbieber', 'mileycyrus', 'usherraymond']",jonm.chu,"['manager', 'canada', 'popsinger']","['documentary', 'music', 'family']",manager canada popsinger justinbieber mileycyrus usherraymond j o n m . c h u documentary music family
Black Swan,"['natalieportman', 'milakunis', 'vincentcassel']",darrenaronofsky,"['dancing', 'competition', 'sex']","['drama', 'thriller']",dancing competition sex natalieportman milakunis vincentcassel d a r r e n a r o n o f s k y drama thriller
The Godfather: Part II,"['alpacino', 'robertduvall', 'dianekeaton']",francisfordcoppola,"['italo-american', 'cuba', 'vororte']","['drama', 'crime']",italo-american cuba vororte alpacino robertduvall dianekeaton f r a n c i s f o r d c o p p o l a drama crime
Save the Last Dance,"['juliastiles', 'seanpatrickthomas', 'kerrywashington']",thomascarter,"['balletdancer', 'musical', 'ballet']","['drama', 'family', 'romance']",balletdancer musical ballet juliastiles seanpatrickthomas kerrywashington t h o m a s c a r t e r drama family romance
A Nightmare on Elm Street 4: The Dream Master,"['robertenglund', 'tuesdayknight', 'kensagoes']",rennyharlin,"['martialarts', 'nightmare', 'supernatural']","['horror', 'thriller']",martialarts nightmare supernatural robertenglund tuesdayknight kensagoes r e n n y h a r l i n horror thriller
Miracles from Heaven,"['jennifergarner', 'kylierogers', 'martinhenderson']",patriciariggen,"['miracle', 'christian', 'cure']",['drama'],miracle christian cure jennifergarner kylierogers martinhenderson p a t r i c i a r i g g e n drama
"Dude, Where’s My Car?","['ashtonkutcher', 'seannwilliamscott', 'kristyswanson']",dannyleiner,"['dude', 'amnesia', 'idiot']",['comedy'],dude amnesia idiot ashtonkutcher seannwilliamscott kristyswanson d a n n y l e i n e r comedy
Young Guns,"['emilioestevez', 'kiefersutherland', 'loudiamondphillips']",christophercain,"['corruption', 'sheriff', 'deputysheriff']","['crime', 'action', 'adventure']",corruption sheriff deputysheriff emilioestevez kiefersutherland loudiamondphillips c h r i s t o p h e r c a i n crime action adventure
St. Vincent,"['billmurray', 'melissamccarthy', 'naomiwatts']",theodoremelfi,"['babysitter', 'friendship', 'neighbor']",['comedy'],babysitter friendship neighbor billmurray melissamccarthy naomiwatts t h e o d o r e m e l f i comedy
About Last Night,"['kevinhart', 'michaelealy', 'reginahall']",stevepink,['duringcreditsstinger'],"['comedy', 'romance']",duringcreditsstinger kevinhart michaelealy reginahall s t e v e p i n k comedy romance
10 Things I Hate About You,"['heathledger', 'juliastiles', 'josephgordon-levitt']",giljunger,"['shakespeare', 'sister', 'highschool']","['comedy', 'romance', 'drama']",shakespeare sister highschool heathledger juliastiles josephgordon-levitt g i l j u n g e r comedy romance drama
The New Guy,"['djqualls', 'elizadushku', 'zooeydeschanel']",eddecter,"['prison', 'dualidentity', 'identity']","['comedy', 'family']",prison dualidentity identity djqualls elizadushku zooeydeschanel e d d e c t e r comedy family
National Lampoon's Loaded Weapon 1,"['emilioestevez', 'samuell.jackson', 'jonlovitz']",genequintano,"['cocaine', 'police', 'spoof']",['comedy'],cocaine police spoof emilioestevez samuell.jackson jonlovitz g e n e q u i n t a n o comedy
The Shallows,"['blakelively', 'óscarjaenada', 'angelojosuelozanocorzo']",jaumecollet-serra,"['mexico', 'beach', 'surfer']","['horror', 'drama', 'thriller']",mexico beach surfer blakelively óscarjaenada angelojosuelozanocorzo j a u m e c o l l e t - s e r r a horror drama thriller
The Butterfly Effect,"['ashtonkutcher', 'melorawalters', 'amysmart']",ericbress,"['amnesia', 'chaostheory', 'blackout']","['sciencefiction', 'thriller']",amnesia chaostheory blackout ashtonkutcher melorawalters amysmart e r i c b r e s s sciencefiction thriller
Snow Day,"['chevychase', 'chriselliott', 'jeansmart']",chriskoch,[],"['comedy', 'family']", chevychase chriselliott jeansmart c h r i s k o c h comedy family
This Christmas,"['lorettadevine', 'delroylindo', 'idriselba']",prestona.whitmoreii,"['drama', 'family', 'familyholiday']","['comedy', 'drama']",drama family familyholiday lorettadevine delroylindo idriselba p r e s t o n a . w h i t m o r e i i comedy drama
Baby Geniuses,"['kathleenturner', 'christopherlloyd', 'kimcattrall']",bobclark,"['baby', 'genius', 'toddler']","['sciencefiction', 'comedy', 'family']",baby genius toddler kathleenturner christopherlloyd kimcattrall b o b c l a r k sciencefiction comedy family
The Big Hit,"['markwahlberg', 'loudiamondphillips', 'christinaapplegate']",kirkwong,"['bungee-jump', 'darkcomedy', 'cigarettesmoking']","['action', 'adventure', 'comedy']",bungee-jump darkcomedy cigarettesmoking markwahlberg loudiamondphillips christinaapplegate k i r k w o n g action adventure comedy
Harriet the Spy,"['michelletrachtenberg', ""rosieo'donnell"", 'j.smith-cameron']",bronwenhughes,"['spy', 'secret', 'nanny']","['comedy', 'drama', 'family']",spy secret nanny michelletrachtenberg rosieo'donnell j.smith-cameron b r o n w e n h u g h e s comedy drama family
Child's Play 2,"['alexvincent', 'jennyagutter', 'gerritgraham']",johnlafia,"['faithlessness', 'puppet', 'killertoys']","['drama', 'horror']",faithlessness puppet killertoys alexvincent jennyagutter gerritgraham j o h n l a f i a drama horror
No Good Deed,"['idriselba', 'tarajip.henson', 'lesliebibb']",sammiller,"['sadistic', 'hostage', 'sociopath']","['crime', 'thriller']",sadistic hostage sociopath idriselba tarajip.henson lesliebibb s a m m i l l e r crime thriller
The Mist,"['thomasjane', 'marciagayharden', 'laurieholden']",frankdarabont,"['fathersonrelationship', 'monster', 'supermarket']","['sciencefiction', 'horror', 'thriller']",fathersonrelationship monster supermarket thomasjane marciagayharden laurieholden f r a n k d a r a b o n t sciencefiction horror thriller
Ex Machina,"['domhnallgleeson', 'aliciavikander', 'oscarisaac']",alexgarland,"['dancing', 'artificialintelligence', 'distrust']","['drama', 'sciencefiction']",dancing artificialintelligence distrust domhnallgleeson aliciavikander oscarisaac a l e x g a r l a n d drama sciencefiction
Being John Malkovich,"['johncusack', 'camerondiaz', 'catherinekeener']",spikejonze,"['individual', 'transvestism', 'sexualidentity']","['fantasy', 'drama', 'comedy']",individual transvestism sexualidentity johncusack camerondiaz catherinekeener s p i k e j o n z e fantasy drama comedy
Two Can Play That Game,"['vivicaa.fox', 'morrischestnut', 'anthonyanderson']",markbrown,[],"['comedy', 'romance']", vivicaa.fox morrischestnut anthonyanderson m a r k b r o w n comedy romance
Earth to Echo,"['teohalm', 'astro', 'ressehartwig']",davegreen,"['alien', 'foundfootage']","['family', 'adventure', 'sciencefiction']",alien foundfootage teohalm astro ressehartwig d a v e g r e e n family adventure sciencefiction
Crazy/Beautiful,"['kirstendunst', 'jayhernandez', 'brucedavison']",johnstockwell,"['lovesickness', 'jealousy', 'parentskidsrelationship']","['drama', 'romance']",lovesickness jealousy parentskidsrelationship kirstendunst jayhernandez brucedavison j o h n s t o c k w e l l drama romance
Letters from Iwo Jima,"['kenwatanabe', 'kazunarininomiya', 'tsuyoshiihara']",clinteastwood,"['worldwarii', 'cave', 'dyinganddeath']","['action', 'adventure', 'drama']",worldwarii cave dyinganddeath kenwatanabe kazunarininomiya tsuyoshiihara c l i n t e a s t w o o d action adventure drama
The Astronaut Farmer,"['billybobthornton', 'virginiamadsen', 'maxthieriot']",michaelpolish,"['nasa', 'texas', 'dream']","['adventure', 'comedy', 'drama']",nasa texas dream billybobthornton virginiamadsen maxthieriot m i c h a e l p o l i s h adventure comedy drama
Woo,"['jadapinkettsmith', 'tommydavidson', 'duanemartin']",daisyvonscherlermayer,"['blinddate', 'love', 'manhattan,newyorkcity']","['comedy', 'romance']","blinddate love manhattan,newyorkcity jadapinkettsmith tommydavidson duanemartin d a i s y v o n s c h e r l e r m a y e r comedy romance"
Room,"['brielarson', 'jacobtremblay', 'joanallen']",lennyabrahamson,"['basedonnovel', 'carpet', 'isolation']","['drama', 'thriller']",basedonnovel carpet isolation brielarson jacobtremblay joanallen l e n n y a b r a h a m s o n drama thriller
Dirty Work,"['normmacdonald', 'artielange', 'jackwarden']",bobsaget,[],['comedy'], normmacdonald artielange jackwarden b o b s a g e t comedy
Serial Mom,"['kathleenturner', 'samwaterston', 'rickilake']",johnwaters,"['housewife', 'protection', 'motherlylove']","['comedy', 'crime', 'horror']",housewife protection motherlylove kathleenturner samwaterston rickilake j o h n w a t e r s comedy crime horror
Dick,"['kirstendunst', 'michellewilliams', 'willferrell']",andrewfleming,"['richardnixon', 'watergate', 'thewhitehouse']",['comedy'],richardnixon watergate thewhitehouse kirstendunst michellewilliams willferrell a n d r e w f l e m i n g comedy
Light It Up,"['usherraymond', 'vanessawilliams', 'forestwhitaker']",craigbolotin,[],"['drama', 'thriller']", usherraymond vanessawilliams forestwhitaker c r a i g b o l o t i n drama thriller
54,"['ryanphillippe', 'salmahayek', 'breckinmeyer']",markchristopher,"['newyork', 'sex', 'nightclub']","['music', 'drama']",newyork sex nightclub ryanphillippe salmahayek breckinmeyer m a r k c h r i s t o p h e r music drama
Bubble Boy,"['jakegyllenhaal', 'swoosiekurtz', 'marleyshelton']",blairhayes,"['lovesickness', 'niagarafalls', 'crush']","['adventure', 'comedy', 'drama']",lovesickness niagarafalls crush jakegyllenhaal swoosiekurtz marleyshelton b l a i r h a y e s adventure comedy drama
Birthday Girl,"['nicolekidman', 'benchaplin', 'vincentcassel']",jezbutterworth,"['femalenudity', 'robbery', 'mailorderbride']","['comedy', 'crime', 'thriller']",femalenudity robbery mailorderbride nicolekidman benchaplin vincentcassel j e z b u t t e r w o r t h comedy crime thriller
21 & Over,"['milesteller', 'skylarastin', 'justinchon']",jonlucas,"['alcohol', 'birthday', 'debauchery']",['comedy'],alcohol birthday debauchery milesteller skylarastin justinchon j o n l u c a s comedy
"Paris, je t'aime","['stevebuscemi', 'natalieportman', 'willemdafoe']",isabelcoixet,"['paris', 'cityportrait', 'jazz']","['drama', 'romance']",paris cityportrait jazz stevebuscemi natalieportman willemdafoe i s a b e l c o i x e t drama romance
Resurrecting the Champ,"['samuell.jackson', 'joshhartnett', 'alanalda']",rodlurie,['sport'],['drama'],sport samuell.jackson joshhartnett alanalda r o d l u r i e drama
Admission,"['tinafey', 'paulrudd', 'michaelsheen']",paulweitz,"['princetonuniversity', 'admissions']","['comedy', 'drama', 'romance']",princetonuniversity admissions tinafey paulrudd michaelsheen p a u l w e i t z comedy drama romance
The Widow of Saint-Pierre,"['danielauteuil', 'emirkusturica', 'juliettebinoche']",patriceleconte,"['france', 'island', 'fisherman']","['romance', 'drama']",france island fisherman danielauteuil emirkusturica juliettebinoche p a t r i c e l e c o n t e romance drama
Chloe,"['juliannemoore', 'liamneeson', 'amandaseyfried']",atomegoyan,"['toronto', 'lesbian', 'remakeoffrenchfilm']","['drama', 'thriller', 'mystery']",toronto lesbian remakeoffrenchfilm juliannemoore liamneeson amandaseyfried a t o m e g o y a n drama thriller mystery
Faithful,"['cher', 'chazzpalminteri', ""ryano'neal""]",paulmazursky,"['kitchen', 'femaleprotagonist', 'bathtub']","['comedy', 'crime', 'drama']",kitchen femaleprotagonist bathtub cher chazzpalminteri ryano'neal p a u l m a z u r s k y comedy crime drama
Find Me Guilty,"['vindiesel', 'alexrocco', 'frankpietrangolare']",sidneylumet,"['courtcase', 'staatsanwältin', 'familyclan']","['drama', 'action', 'comedy']",courtcase staatsanwältin familyclan vindiesel alexrocco frankpietrangolare s i d n e y l u m e t drama action comedy
The Perks of Being a Wallflower,"['loganlerman', 'emmawatson', 'ezramiller']",stephenchbosky,"['shyness', 'secret', 'narration']","['drama', 'romance']",shyness secret narration loganlerman emmawatson ezramiller s t e p h e n c h b o s k y drama romance
Excessive Force,"['thomasiangriffith', 'lancehenriksen', 'jamesearljones']",jonhess,"['police', 'shoulderholster', 'policeshootout']",['action'],police shoulderholster policeshootout thomasiangriffith lancehenriksen jamesearljones j o n h e s s action
Infamous,"['sigourneyweaver', 'tobyjones', 'gwynethpaltrow']",douglasmcgrath,"['killing', 'deathpenalty', 'kansas']",['drama'],killing deathpenalty kansas sigourneyweaver tobyjones gwynethpaltrow d o u g l a s m c g r a t h drama
